task id session trial condition trialxcondition perceived_liking perceived_intensity EMG
hedonic 05 two 20 neutral 8 37.288136 20.338983 0.000117
hedonic 05 two 21 neutral 9 23.728814 21.186441 0.000152
hedonic 05 two 22 chocolate 7 72.881356 63.559322 0.000114
hedonic 05 two 23 chocolate 8 50.000000 12.711864 0.000184
hedonic 05 two 24 chocolate 9 62.711864 25.423729 0.000126
hedonic 05 two 25 empty 7 60.169492 19.491525 0.000213
hedonic 05 two 26 empty 8 50.000000 12.711864 0.000118
hedonic 05 two 27 empty 9 50.000000 12.711864 0.000094
hedonic 05 two 28 neutral 10 36.440678 38.983051 0.000156
hedonic 05 two 29 neutral 11 37.288136 21.186441 0.000138
hedonic 05 two 30 neutral 12 50.000000 12.711864 0.000117
hedonic 05 two 31 chocolate 10 67.796610 51.694915 0.000147
hedonic 05 two 32 chocolate 11 60.169492 37.288136 0.000149
hedonic 05 two 33 chocolate 12 50.000000 12.711864 0.000154
hedonic 05 two 34 empty 10 50.000000 12.711864 0.000131
hedonic 05 two 35 empty 11 50.000000 12.711864 0.000137
hedonic 05 two 36 empty 12 50.000000 12.711864 0.000175
hedonic 05 two 37 neutral 13 16.101695 81.355932 0.000171
hedonic 05 two 38 neutral 14 37.288136 22.881356 0.000156
hedonic 05 two 39 neutral 15 50.000000 12.711864 0.000131
hedonic 05 two 40 empty 13 50.000000 12.711864 0.000176
hedonic 05 two 41 empty 14 50.000000 12.711864 0.000153
hedonic 05 two 42 empty 15 50.000000 12.711864 0.000145
hedonic 05 two 43 chocolate 13 61.016949 76.271186 0.000174
hedonic 05 two 44 chocolate 14 61.016949 30.508475 0.000188
hedonic 05 two 45 chocolate 15 60.169492 20.338983 0.000156
hedonic 05 two 46 empty 16 50.000000 12.711864 0.000149
hedonic 05 two 47 empty 17 50.000000 12.711864 0.000091
hedonic 05 two 48 empty 18 50.000000 12.711864 0.000150
hedonic 05 two 49 chocolate 16 61.864407 25.423729 0.000104
hedonic 05 two 50 chocolate 17 50.000000 12.711864 0.000157
hedonic 05 two 51 chocolate 18 61.016949 14.406780 0.000161
hedonic 05 two 52 neutral 16 20.338983 70.338983 0.000145
hedonic 05 two 53 neutral 17 31.355932 60.169492 0.000135
hedonic 05 two 54 neutral 18 50.000000 12.711864 0.000168
hedonic 06 two 1 neutral 1 44.915254 71.186441 0.000313
hedonic 06 two 2 neutral 2 55.084746 68.644068 0.000251
hedonic 06 two 3 neutral 3 58.474576 68.644068 0.000283
hedonic 06 two 4 empty 1 72.881356 67.796610 0.000283
hedonic 06 two 5 empty 2 59.322034 58.474576 0.000360
hedonic 06 two 6 empty 3 57.627119 63.559322 0.000295
hedonic 06 two 7 chocolate 1 66.949153 65.254237 0.000287
hedonic 06 two 8 chocolate 2 70.338983 70.338983 0.000282
hedonic 06 two 9 chocolate 3 58.474576 62.711864 0.000265
hedonic 06 two 10 neutral 4 50.000000 63.559322 0.000224
hedonic 06 two 11 neutral 5 59.322034 69.491525 0.000245
hedonic 06 two 12 neutral 6 50.000000 51.694915 0.000232
hedonic 06 two 13 empty 4 50.000000 50.000000 0.000244
hedonic 06 two 14 empty 5 50.000000 50.000000 0.000291
hedonic 06 two 15 empty 6 50.000000 50.000000 0.000271
hedonic 06 two 16 chocolate 4 73.728814 75.423729 0.000196
hedonic 06 two 17 chocolate 5 71.186441 72.881356 0.000269
hedonic 06 two 18 chocolate 6 75.423729 72.881356 0.000201
hedonic 06 two 19 empty 7 50.000000 50.000000 0.000219
hedonic 06 two 20 empty 8 50.000000 50.000000 0.000318
hedonic 06 two 21 empty 9 50.000000 50.000000 0.000225
hedonic 06 two 22 chocolate 7 69.491525 70.338983 0.000316
hedonic 06 two 23 chocolate 8 77.118644 66.101695 0.000314
hedonic 06 two 24 chocolate 9 78.813559 66.101695 0.000211
hedonic 06 two 25 neutral 7 58.474576 72.033898 0.000227
hedonic 06 two 26 neutral 8 49.152542 72.881356 0.000231
hedonic 06 two 27 neutral 9 55.084746 74.576271 0.000222
hedonic 06 two 28 empty 10 50.000000 50.000000 0.000238
hedonic 06 two 29 empty 11 50.000000 50.000000 0.000230
hedonic 06 two 30 empty 12 50.000000 50.000000 0.000216
hedonic 06 two 31 chocolate 10 76.271186 62.711864 0.000264
hedonic 06 two 32 chocolate 11 75.423729 61.864407 0.000224
hedonic 06 two 33 chocolate 12 77.118644 61.864407 0.000307
hedonic 06 two 34 neutral 10 56.779661 80.508475 0.000229
hedonic 06 two 35 neutral 11 55.932203 69.491525 0.000212
hedonic 06 two 36 neutral 12 57.627119 69.491525 0.000221
hedonic 06 two 37 neutral 13 50.000000 50.000000 0.000219
hedonic 06 two 38 neutral 14 50.000000 54.237288 0.000226
hedonic 06 two 39 neutral 15 50.000000 55.932203 0.000245
hedonic 06 two 40 empty 13 50.000000 50.000000 0.000298
hedonic 06 two 41 empty 14 50.000000 50.000000 0.000264
hedonic 06 two 42 empty 15 50.000000 50.000000 0.000296
hedonic 06 two 43 chocolate 13 78.813559 56.779661 0.000234
hedonic 06 two 44 chocolate 14 85.593220 66.101695 0.000246
hedonic 06 two 45 chocolate 15 87.288136 61.864407 0.000182
hedonic 06 two 46 neutral 16 48.305085 77.966102 0.000224
hedonic 06 two 47 neutral 17 52.542373 79.661017 0.000211
hedonic 06 two 48 neutral 18 50.000000 56.779661 0.000268
hedonic 06 two 49 chocolate 16 83.050847 62.711864 0.000176
hedonic 06 two 50 chocolate 17 84.745763 68.644068 0.000237
hedonic 06 two 51 chocolate 18 77.118644 66.101695 0.000224
hedonic 06 two 52 empty 16 50.000000 50.000000 0.000219
hedonic 06 two 53 empty 17 50.000000 50.000000 0.000237
hedonic 06 two 54 empty 18 50.000000 50.000000 0.000259
hedonic 07 two 1 chocolate 1 71.186441 71.186441 0.000092
hedonic 07 two 2 chocolate 2 66.101695 48.305085 0.000078
hedonic 07 two 3 chocolate 3 66.101695 41.525424 0.000085
hedonic 07 two 4 empty 1 50.000000 13.559322 0.000082
hedonic 07 two 5 empty 2 48.305085 29.661017 0.000077
hedonic 07 two 6 empty 3 50.000000 12.711864 0.000107
hedonic 07 two 7 neutral 1 59.322034 62.711864 0.000085
hedonic 07 two 8 neutral 2 59.322034 32.203390 0.000083
hedonic 07 two 9 neutral 3 59.322034 17.796610 0.000085
hedonic 07 two 10 empty 4 50.000000 12.711864 0.000090
hedonic 07 two 11 empty 5 50.000000 12.711864 0.000116
hedonic 07 two 12 empty 6 50.000000 12.711864 0.000074
hedonic 07 two 13 neutral 4 50.000000 16.101695 0.000100
hedonic 07 two 14 neutral 5 58.474576 21.186441 0.000083
hedonic 07 two 15 neutral 6 50.000000 12.711864 0.000081
hedonic 07 two 16 chocolate 4 66.949153 60.169492 0.000086
hedonic 07 two 17 chocolate 5 50.000000 12.711864 0.000083
hedonic 07 two 18 chocolate 6 65.254237 34.745763 0.000081
hedonic 07 two 19 chocolate 7 65.254237 34.745763 0.000078
hedonic 07 two 20 chocolate 8 65.254237 22.033898 0.000090
hedonic 07 two 21 chocolate 9 55.084746 20.338983 0.000077
hedonic 07 two 22 empty 7 50.000000 12.711864 0.000137
hedonic 07 two 23 empty 8 50.000000 12.711864 0.000157
hedonic 07 two 24 empty 9 50.000000 12.711864 0.000106
hedonic 07 two 25 neutral 7 58.474576 33.898305 0.000090
hedonic 07 two 26 neutral 8 50.000000 12.711864 0.000092
hedonic 07 two 27 neutral 9 57.627119 16.101695 0.000079
hedonic 07 two 28 chocolate 10 72.033898 32.203390 0.000082
hedonic 07 two 29 chocolate 11 58.474576 27.118644 0.000090
hedonic 07 two 30 chocolate 12 50.000000 12.711864 0.000086
hedonic 07 two 31 neutral 10 60.169492 15.254237 0.000184
hedonic 07 two 32 neutral 11 50.000000 12.711864 0.000085
hedonic 07 two 33 neutral 12 50.000000 12.711864 0.000084
hedonic 07 two 34 empty 10 50.000000 12.711864 0.000079
hedonic 07 two 35 empty 11 50.000000 12.711864 0.000116
hedonic 07 two 36 empty 12 50.000000 12.711864 0.000094
hedonic 07 two 37 neutral 13 58.474576 40.677966 0.000085
hedonic 07 two 38 neutral 14 59.322034 39.830508 0.000081
hedonic 07 two 39 neutral 15 50.000000 12.711864 0.000071
hedonic 07 two 40 empty 13 50.000000 12.711864 0.000084
hedonic 07 two 41 empty 14 50.000000 12.711864 0.000073
hedonic 07 two 42 empty 15 50.000000 12.711864 0.000080
hedonic 07 two 43 chocolate 13 63.559322 55.932203 0.000064
hedonic 07 two 44 chocolate 14 56.779661 56.779661 0.000081
hedonic 07 two 45 chocolate 15 56.779661 31.355932 0.000079
hedonic 07 two 46 neutral 16 57.627119 26.271186 0.000083
hedonic 07 two 47 neutral 17 50.000000 12.711864 0.000073
hedonic 07 two 48 neutral 18 50.000000 12.711864 0.000094
hedonic 07 two 49 chocolate 16 68.644068 60.169492 0.000082
hedonic 07 two 50 chocolate 17 60.169492 56.779661 0.000072
hedonic 07 two 51 chocolate 18 50.000000 12.711864 0.000063
