task id session trial condition trialxcondition perceived_liking perceived_intensity
hedonic 14 one 34 neutral 31 42.372881 41.525424
hedonic 14 one 35 neutral 32 41.525424 53.389831
hedonic 14 one 36 neutral 33 35.593220 63.559322
hedonic 14 one 37 chocolate 1 76.271186 55.084746
hedonic 14 one 38 chocolate 2 62.711864 43.220339
hedonic 14 one 39 chocolate 3 76.271186 31.355932
hedonic 15 one 1 neutral 1 66.101695 53.389831
hedonic 15 one 2 neutral 2 52.542373 52.542373
hedonic 15 one 3 neutral 3 54.237288 55.084746
hedonic 15 one 4 neutral 4 56.779661 55.932203
hedonic 15 one 5 neutral 5 63.559322 52.542373
hedonic 15 one 6 neutral 6 61.864407 54.237288
