task id session trial condition trialxcondition n_grips reward
PIT 09 two 16 CSplus 1 13 0
PIT 09 two 17 CSplus 2 17 0
PIT 09 two 18 CSplus 3 12 0
PIT 09 two 19 CSminus 4 13 0
PIT 09 two 20 CSminus 5 13 0
PIT 09 two 21 CSminus 6 21 0
PIT 09 two 22 CSplus 4 19 0
PIT 09 two 23 CSplus 5 13 0
PIT 09 two 24 CSplus 6 14 0
PIT 09 two 25 Baseline 4 12 0
PIT 09 two 26 Baseline 5 13 0
PIT 09 two 27 Baseline 6 10 0
PIT 09 two 28 CSminus 7 12 0
PIT 09 two 29 CSminus 8 17 0
PIT 09 two 30 CSminus 9 14 0
PIT 09 two 31 Baseline 7 19 0
PIT 09 two 32 Baseline 8 16 0
PIT 09 two 33 Baseline 9 16 0
PIT 09 two 34 CSplus 7 19 0
PIT 09 two 35 CSplus 8 13 0
PIT 09 two 36 CSplus 9 11 0
PIT 09 two 37 Baseline 10 12 0
PIT 09 two 38 Baseline 11 13 0
PIT 09 two 39 Baseline 12 13 0
PIT 09 two 40 CSminus 10 13 0
PIT 09 two 41 CSminus 11 15 0
PIT 09 two 42 CSminus 12 13 0
PIT 09 two 43 CSplus 10 13 0
PIT 09 two 44 CSplus 11 16 0
PIT 09 two 45 CSplus 12 16 0
PIT 09 two 46 CSplus 13 11 0
PIT 09 two 47 CSplus 14 9 0
PIT 09 two 48 CSplus 15 12 0
PIT 09 two 49 CSminus 13 14 0
PIT 09 two 50 CSminus 14 18 0
PIT 09 two 51 CSminus 15 11 0
PIT 09 two 52 Baseline 13 21 0
PIT 09 two 53 Baseline 14 19 0
PIT 09 two 54 Baseline 15 18 0
Reminder 10 two 1 None 1 6 2
Reminder 10 two 2 None 2 8 2
Reminder 10 two 3 None 3 10 2
Partial_Extinction 10 two 4 None 4 7 1
Partial_Extinction 10 two 5 None 5 10 1
Partial_Extinction 10 two 6 None 6 10 1
Partial_Extinction 10 two 7 None 7 10 1
Partial_Extinction 10 two 8 None 8 10 1
Partial_Extinction 10 two 9 None 9 9 1
PIT 10 two 10 Baseline 1 3 0
PIT 10 two 11 Baseline 2 3 0
PIT 10 two 12 Baseline 3 9 0
PIT 10 two 13 CSplus 1 9 0
PIT 10 two 14 CSplus 2 9 0
PIT 10 two 15 CSplus 3 10 0
PIT 10 two 16 CSminus 1 8 0
PIT 10 two 17 CSminus 2 10 0
PIT 10 two 18 CSminus 3 10 0
PIT 10 two 19 Baseline 4 8 0
PIT 10 two 20 Baseline 5 7 0
PIT 10 two 21 Baseline 6 7 0
PIT 10 two 22 CSminus 4 9 0
PIT 10 two 23 CSminus 5 9 0
PIT 10 two 24 CSminus 6 10 0
PIT 10 two 25 CSplus 4 10 0
PIT 10 two 26 CSplus 5 10 0
PIT 10 two 27 CSplus 6 9 0
PIT 10 two 28 CSplus 7 11 0
PIT 10 two 29 CSplus 8 10 0
PIT 10 two 30 CSplus 9 10 0
PIT 10 two 31 Baseline 7 9 0
PIT 10 two 32 Baseline 8 11 0
PIT 10 two 33 Baseline 9 10 0
PIT 10 two 34 CSminus 7 10 0
PIT 10 two 35 CSminus 8 10 0
PIT 10 two 36 CSminus 9 9 0
PIT 10 two 37 Baseline 10 9 0
PIT 10 two 38 Baseline 11 10 0
PIT 10 two 39 Baseline 12 10 0
PIT 10 two 40 CSplus 10 10 0
PIT 10 two 41 CSplus 11 11 0
PIT 10 two 42 CSplus 12 11 0
PIT 10 two 43 CSminus 10 9 0
PIT 10 two 44 CSminus 11 10 0
PIT 10 two 45 CSminus 12 11 0
PIT 10 two 46 CSplus 13 11 0
PIT 10 two 47 CSplus 14 10 0
PIT 10 two 48 CSplus 15 8 0
PIT 10 two 49 Baseline 13 10 0
PIT 10 two 50 Baseline 14 10 0
PIT 10 two 51 Baseline 15 11 0
PIT 10 two 52 CSminus 13 12 0
PIT 10 two 53 CSminus 14 11 0
PIT 10 two 54 CSminus 15 10 0
Reminder 11 two 1 None 1 12 2
Reminder 11 two 2 None 2 13 2
Reminder 11 two 3 None 3 11 2
Partial_Extinction 11 two 4 None 4 13 1
Partial_Extinction 11 two 5 None 5 15 1
Partial_Extinction 11 two 6 None 6 10 1
Partial_Extinction 11 two 7 None 7 10 1
Partial_Extinction 11 two 8 None 8 11 1
Partial_Extinction 11 two 9 None 9 9 1
PIT 11 two 10 Baseline 1 5 0
PIT 11 two 11 Baseline 2 7 0
PIT 11 two 12 Baseline 3 7 0
PIT 11 two 13 CSminus 1 6 0
PIT 11 two 14 CSminus 2 0 0
PIT 11 two 15 CSminus 3 0 0
PIT 11 two 16 CSplus 1 12 0
PIT 11 two 17 CSplus 2 11 0
PIT 11 two 18 CSplus 3 11 0
PIT 11 two 19 CSplus 4 12 0
PIT 11 two 20 CSplus 5 5 0
PIT 11 two 21 CSplus 6 8 0
