task id session trial condition trialxcondition RT accuracy liking_ratings rounds
pavlovian_learning 04 one 77 CSminus 38 0.310838 1 20.338983 2
pavlovian_learning 04 one 78 CSminus 39 0.248177 1 20.338983 3
pavlovian_learning 04 one 79 CSplus 40 0.286125 1 87.288136 1
pavlovian_learning 04 one 80 CSplus 41 0.366031 1 87.288136 2
pavlovian_learning 04 one 81 CSplus 42 0.397857 1 87.288136 3
pavlovian_learning 04 one 82 CSminus 40 0.288341 1 20.338983 1
pavlovian_learning 04 one 83 CSminus 41 0.508213 1 20.338983 2
pavlovian_learning 04 one 84 CSminus 42 0.824739 1 20.338983 3
pavlovian_learning 04 one 85 CSplus 43 0.287979 1 87.288136 1
pavlovian_learning 04 one 86 CSplus 44 0.286719 1 87.288136 2
pavlovian_learning 04 one 87 CSplus 45 0.431578 1 87.288136 3
pavlovian_learning 04 one 88 CSminus 43 0.329203 1 20.338983 1
pavlovian_learning 04 one 89 CSminus 44 0.317901 1 20.338983 2
pavlovian_learning 04 one 90 CSminus 45 0.229725 1 20.338983 3
pavlovian_learning 04 one 91 CSplus 46 0.371342 1 87.288136 1
pavlovian_learning 04 one 92 CSplus 47 0.284213 1 87.288136 2
pavlovian_learning 04 one 93 CSplus 48 0.257758 1 87.288136 3
pavlovian_learning 04 one 94 CSminus 46 0.260124 1 20.338983 1
pavlovian_learning 04 one 95 CSminus 47 0.265145 1 20.338983 2
pavlovian_learning 04 one 96 CSminus 48 0.259083 1 20.338983 3
pavlovian_learning 04 one 97 CSplus 49 0.364158 1 87.288136 1
pavlovian_learning 04 one 98 CSplus 50 0.350390 1 87.288136 2
pavlovian_learning 04 one 99 CSplus 51 0.476260 1 87.288136 3
pavlovian_learning 04 one 100 CSminus 49 0.349944 1 20.338983 1
pavlovian_learning 04 one 101 CSminus 50 0.256695 1 20.338983 2
pavlovian_learning 04 one 102 CSminus 51 0.355908 1 20.338983 3
pavlovian_learning 04 one 103 CSplus 52 0.272579 1 87.288136 1
pavlovian_learning 04 one 104 CSplus 53 0.308010 1 87.288136 2
pavlovian_learning 04 one 105 CSplus 54 0.263867 1 87.288136 3
pavlovian_learning 04 one 106 CSminus 52 0.311313 1 20.338983 1
pavlovian_learning 04 one 107 CSminus 53 0.256411 1 20.338983 2
pavlovian_learning 04 one 108 CSminus 54 0.305431 1 20.338983 3
pavlovian_learning 04 one 109 Baseline 0 NaN NaN 8.474576 NaN
pavlovian_learning 05 one 1 CSplus 1 0.478304 1 71.186441 1
pavlovian_learning 05 one 2 CSplus 2 0.409410 1 71.186441 2
pavlovian_learning 05 one 3 CSplus 3 0.589620 1 71.186441 3
pavlovian_learning 05 one 4 CSminus 1 0.377141 1 71.186441 1
pavlovian_learning 05 one 5 CSminus 2 0.479909 1 71.186441 2
pavlovian_learning 05 one 6 CSminus 3 0.364785 1 71.186441 3
pavlovian_learning 05 one 7 CSplus 4 0.346531 1 71.186441 1
pavlovian_learning 05 one 8 CSplus 5 0.321860 1 71.186441 2
pavlovian_learning 05 one 9 CSplus 6 0.400734 1 71.186441 3
pavlovian_learning 05 one 10 CSminus 4 0.315419 1 71.186441 1
