Subject	Word	POA	Voicing	VOT
s5	bun	bilabial	voiced	0.0092
s5	tell	alveolar	voiceless	0.0429
s5	dell	alveolar	voiced	0.0183
s5	dell	alveolar	voiced	0.0216
s5	dell	alveolar	voiced	0.0391
s5	patch	bilabial	voiceless	0.0192
s5	batch	bilabial	voiced	0.0099
s5	batch	bilabial	voiced	0.0145
s5	putt	bilabial	voiceless	0.025
s5	putt	bilabial	voiceless	0.0088
s5	but	bilabial	voiced	0.0327
s5	but	bilabial	voiced	0.0346
s5	pill	bilabial	voiceless	0.0518
s5	bill	bilabial	voiced	0.0099
s5	dill	alveolar	voiced	0.0119
s5	gus	velar	voiced	0.0252
s5	cuss	velar	voiceless	0.0191
s5	ten	alveolar	voiceless	0.0272
s5	ten	alveolar	voiceless	0.0443
s5	den	alveolar	voiced	0.0184
s5	den	alveolar	voiced	0.0127
s5	pus	bilabial	voiceless	0.0112
s5	bat	bilabial	voiced	0.0095
s5	pat	bilabial	voiceless	0.0554
s5	touch	alveolar	voiceless	0.0529
s5	touch	alveolar	voiceless	0.0555
s5	touch	alveolar	voiceless	0.0505
s5	dutch	alveolar	voiced	0.0143
s5	dutch	alveolar	voiced	0.0174
s5	dutch	alveolar	voiced	0.0174
s5	pounce	bilabial	voiceless	0.0496
s5	pounce	bilabial	voiceless	0.0552
s5	pounce	bilabial	voiceless	0.0476
s5	bounce	bilabial	voiced	0.0088
s5	bounce	bilabial	voiced	0.0128
s5	bounce	bilabial	voiced	0.0118
s5	cod	velar	voiceless	0.0957
s5	god	velar	voiced	0.024
s5	god	velar	voiced	0.0226
s5	pun	bilabial	voiceless	0.0452
s5	pun	bilabial	voiceless	0.0397
s5	bun	bilabial	voiced	0.0089
s5	come	velar	voiceless	0.0917
s5	come	velar	voiceless	0.0137
s5	come	velar	voiceless	0.0581
s5	come	velar	voiceless	0.0581
s5	gum	velar	voiced	0.0286
s5	gum	velar	voiced	0.0286
s5	gum	velar	voiced	0.0246
s5	gum	velar	voiced	0.0295
s5	duck	alveolar	voiced	0.0095
s5	pill	bilabial	voiceless	0.0547
s5	dug	alveolar	voiced	0.01
s5	pus	bilabial	voiceless	0.0276
s5	pounce	bilabial	voiceless	0.0246
s5	bounce	bilabial	voiced	0.0113
s5	pad	bilabial	voiceless	0.0441
s5	pest	bilabial	voiceless	0.0596
s5	pest	bilabial	voiceless	0.0232
s5	pest	bilabial	voiceless	0.0474
s5	best	bilabial	voiced	0.0177
s5	best	bilabial	voiced	0.015
s5	buck	bilabial	voiced	0.0083
s5	puck	bilabial	voiceless	0.0075
s5	puck	bilabial	voiceless	0.0075
s5	cab	velar	voiceless	0.0555
s5	gab	velar	voiced	0.0274
s5	belt	bilabial	voiced	0.0593
s5	pelt	bilabial	voiceless	0.0378
s5	belt	bilabial	voiced	0.009
s5	pelt	bilabial	voiceless	0.0091
s5	bug	bilabial	voiced	0.0081
s5	pin	bilabial	voiceless	0.0407
s5	tug	alveolar	voiceless	0.0676
s5	tug	alveolar	voiceless	0.0359
s5	dug	alveolar	voiced	0.0094
s5	dug	alveolar	voiced	0.0088
s5	pull	bilabial	voiceless	0.0614
s5	pull	bilabial	voiceless	0.0619
s5	pull	bilabial	voiceless	0.0612
s5	bull	bilabial	voiced	0.0098
s5	bull	bilabial	voiced	0.0115
s5	bull	bilabial	voiced	0.0151
s5	ted	alveolar	voiceless	0.0761
s5	dead	alveolar	voiced	0.0191
s5	tech	alveolar	voiceless	0.0322
s5	deck	alveolar	voiced	0.0101
s5	deck	alveolar	voiced	0.0114
s5	path	bilabial	voiceless	0.0114
s5	bath	bilabial	voiced	0.0449
s5	cob	velar	voiceless	0.0707
s5	gob	velar	voiced	0.0224
s5	gob	velar	voiced	0.0259
s5	cob	velar	voiceless	0.0363
s5	puck	bilabial	voiceless	0.0484
s5	bound	bilabial	voiced	0.0099
s5	bound	bilabial	voiced	0.0254
s5	gum	velar	voiced	0.0175
s5	bat	bilabial	voiced	0.0087
s5	bat	bilabial	voiced	0.0131
s5	bat	bilabial	voiced	0.0095
s5	pelt	bilabial	voiceless	0.0607
s5	tuck	alveolar	voiceless	0.0495
s5	tuck	alveolar	voiceless	0.0412
s5	duck	alveolar	voiced	0.0108
s5	kale	velar	voiceless	0.0743
s5	gale	velar	voiced	0.0187
s5	bang	bilabial	voiced	0.0137
s5	cash	velar	voiceless	0.0352
s5	gash	velar	voiced	0.0261
s5	pus	bilabial	voiceless	0.0348
s5	pus	bilabial	voiceless	0.0177
s5	pus	bilabial	voiceless	0.0396
s5	bus	bilabial	voiced	0.003
s5	bus	bilabial	voiced	0.0095
s5	bus	bilabial	voiced	0.0096
s5	bus	bilabial	voiced	0.0085
s5	touch	alveolar	voiceless	0.0277
s5	dutch	alveolar	voiced	0.0174
s5	come	velar	voiceless	0.0581
s5	come	velar	voiceless	0.07
s5	gum	velar	voiced	0.0166
s5	gum	velar	voiced	0.0286
s5	tuck	alveolar	voiceless	0.037
s5	tuck	alveolar	voiceless	0.047
s5	tuck	alveolar	voiceless	0.0339
s5	duck	alveolar	voiced	0.0098
s5	pill	bilabial	voiceless	0.0479
s5	pest	bilabial	voiceless	0.0342
s5	pest	bilabial	voiceless	0.0485
s5	pest	bilabial	voiceless	0.044
s5	pest	bilabial	voiceless	0.0512
s5	best	bilabial	voiced	0.0056
s5	best	bilabial	voiced	0.0105
s5	cod	velar	voiceless	0.0698
s5	god	velar	voiced	0.0161
s6	bad	bilabial	voiced	0.015
s6	cuss	velar	voiceless	0.0318
s6	cuss	velar	voiceless	0.0439
s6	god	velar	voiced	0.0265
s6	bus	bilabial	voiced	0.014
s6	den	alveolar	voiced	0.0226
s6	cob	velar	voiceless	0.0327
s6	gob	velar	voiced	0.0276
s6	cob	velar	voiceless	0.0392
s6	pug	bilabial	voiceless	0.0429
s6	cab	velar	voiceless	0.0329
s6	cull	velar	voiceless	0.028
s6	bad	bilabial	voiced	0.0141
s6	path	bilabial	voiceless	0.0301
s6	bath	bilabial	voiced	0.0168
s6	path	bilabial	voiceless	0.0517
s6	path	bilabial	voiceless	0.0502
s6	bath	bilabial	voiced	0.0191
s6	path	bilabial	voiceless	0.0283
s6	bath	bilabial	voiced	0.0296
s6	bath	bilabial	voiced	0.0239
s6	cut	velar	voiceless	0.0522
s6	buck	bilabial	voiced	0.0211
s6	ton	alveolar	voiceless	0.041
s6	pelt	bilabial	voiceless	0.0389
s6	pelt	bilabial	voiceless	0.0291
s6	cut	velar	voiceless	0.0454
s6	cut	velar	voiceless	0.0381
s6	gale	velar	voiced	0.0542
s6	come	velar	voiceless	0.0498
s6	cuss	velar	voiceless	0.0202
s6	gus	velar	voiced	0.0269
s6	kale	velar	voiceless	0.0315
s6	tuck	alveolar	voiceless	0.0224
s6	tuck	alveolar	voiceless	0.0394
s6	gain	velar	voiced	0.0457
s6	putt	bilabial	voiceless	0.0312
s6	putt	bilabial	voiceless	0.0155
s6	cab	velar	voiceless	0.0434
s6	cull	velar	voiceless	0.0349
s6	bus	bilabial	voiced	0.0138
s6	gus	velar	voiced	0.0498
s6	cab	velar	voiceless	0.0137
s6	cob	velar	voiceless	0.0367
s6	cob	velar	voiceless	0.03
s6	cob	velar	voiceless	0.03
s6	gob	velar	voiced	0.0263
s6	pull	bilabial	voiceless	0.0627
s6	cave	velar	voiceless	0.0547
s6	cut	velar	voiceless	0.0483
s6	tug	alveolar	voiceless	0.025
s6	pound	bilabial	voiceless	0.0282
s6	ted	alveolar	voiceless	0.0505
s6	bath	bilabial	voiced	0.0123
s6	cull	velar	voiceless	0.0433
s6	cull	velar	voiceless	0.034
s6	gull	velar	voiced	0.0183
s6	gull	velar	voiced	0.019
s6	cash	velar	voiceless	0.0582
s6	cob	velar	voiceless	0.0545
s6	puck	bilabial	voiceless	0.0437
s6	come	velar	voiceless	0.0482
s6	cut	velar	voiceless	0.0279
s6	cut	velar	voiceless	0.0258
s6	cut	velar	voiceless	0.0397
s6	tick	alveolar	voiceless	0.0329
s6	touch	alveolar	voiceless	0.0233
s6	touch	alveolar	voiceless	0.0224
s6	tuck	alveolar	voiceless	0.031
s6	tuck	alveolar	voiceless	0.0342
s6	cod	velar	voiceless	0.0426
s6	cash	velar	voiceless	0.0573
s6	cash	velar	voiceless	0.0459
s6	patch	bilabial	voiceless	0.0196
s6	come	velar	voiceless	0.0312
s6	pest	bilabial	voiceless	0.0373
s6	came	velar	voiceless	0.0568
s7	came	velar	voiceless	0.0908
s7	kale	velar	voiceless	0.0808
s7	gale	velar	voiced	0.0379
s7	gale	velar	voiced	0.0271
s7	pin	bilabial	voiceless	0.0626
s7	pun	bilabial	voiceless	0.0574
s7	ted	alveolar	voiceless	0.0622
s7	pelt	bilabial	voiceless	0.0712
s7	tell	alveolar	voiceless	0.0521
s7	touch	alveolar	voiceless	0.0521
s7	touch	alveolar	voiceless	0.0469
s7	cob	velar	voiceless	0.0535
s7	gut	velar	voiced	0.0241
s7	gut	velar	voiced	0.0416
s7	gut	velar	voiced	0.0976
s7	duck	alveolar	voiced	0.0151
s7	bound	bilabial	voiced	0.0089
s7	bound	bilabial	voiced	0.0097
s7	buck	bilabial	voiced	0.0261
s7	bath	bilabial	voiced	0.0396
s7	bus	bilabial	voiced	0.0085
s7	kale	velar	voiceless	0.0869
s7	pun	bilabial	voiceless	0.0333
s7	pat	bilabial	voiceless	0.0505
s7	pat	bilabial	voiceless	0.0505
s7	gash	velar	voiced	0.0215
s7	till	alveolar	voiceless	0.0215
s7	till	alveolar	voiceless	0.0215
s7	patch	bilabial	voiceless	0.0683
s7	patch	bilabial	voiceless	0.0602
s7	tuck	alveolar	voiceless	0.0215
s7	tuck	alveolar	voiceless	0.0215
s7	duck	alveolar	voiced	0.0215
s7	dutch	alveolar	voiced	0.0215
s7	dutch	alveolar	voiced	0.0255
s7	came	velar	voiceless	0.0215
s7	came	velar	voiceless	0.0215
s7	pest	bilabial	voiceless	0.0269
s7	pest	bilabial	voiceless	0.0485
s7	pang	bilabial	voiceless	0.0603
s7	gain	velar	voiced	0.0342
s7	best	bilabial	voiced	0.0131
s7	best	bilabial	voiced	0.0099
s7	best	bilabial	voiced	0.0088
s7	best	bilabial	voiced	0.0138
s7	putt	bilabial	voiceless	0.0186
s7	pull	bilabial	voiceless	0.0596
s7	pull	bilabial	voiceless	0.0721
s7	pull	bilabial	voiceless	0.0808
s7	cuss	velar	voiceless	0.0718
s7	gus	velar	voiced	0.0229
s7	cuss	velar	voiceless	0.0485
s7	gus	velar	voiced	0.0287
s7	gus	velar	voiced	0.066
s7	bounce	bilabial	voiced	0.0272
s7	pounce	bilabial	voiceless	0.0611
s7	cod	velar	voiceless	0.0807
s7	pin	bilabial	voiceless	0.0755
s7	pin	bilabial	voiceless	0.0503
s7	pin	bilabial	voiceless	0.0702
s7	bin	bilabial	voiced	0.021
s7	bin	bilabial	voiced	0.0235
s7	bin	bilabial	voiced	0.023
s7	tech	alveolar	voiceless	0.0681
s7	tech	alveolar	voiceless	0.0425
s7	tech	alveolar	voiceless	0.0368
s7	deck	alveolar	voiced	0.0193
s7	path	bilabial	voiceless	0.0479
s7	path	bilabial	voiceless	0.0749
s7	bath	bilabial	voiced	0.0187
s7	bath	bilabial	voiced	0.0189
s7	bath	bilabial	voiced	0.0253
s7	bath	bilabial	voiced	0.0099
s7	buck	bilabial	voiced	0.0118
s7	pug	bilabial	voiceless	0.0292
s7	bug	bilabial	voiced	0.0129
s7	bug	bilabial	voiced	0.0147
s7	pound	bilabial	voiceless	0.0845
